gender_code,attendance_percentage,assignment_completion,current_cgpa,previous_cgpa,average_internal_marks,average_total_marks,subjects_enrolled,subjects_evaluated,subjects_passed,subjects_credited,age_at_enrollment,debtor,tuition_fees_up_to_date,scholarship_holder,educational_special_needs,international,course_code,daytime_attendance,displaced,unemployment_rate,inflation_rate,gdp,next_sem_cgpa_target
0.0,100.0,1.0,6.33,6.33,63.33,63.33,5,9,5,0,18.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,9.4,-0.8,-3.12,6.5
0.0,100.0,1.0,6.0,6.0,60.0,60.0,5,6,5,0,20.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,16.2,0.3,-0.92,6.17
1.0,93.57,1.0,6.47,6.47,64.67,64.67,7,9,6,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,16.2,0.3,-0.92,6.86
1.0,92.5,1.0,5.93,5.93,59.29,59.29,6,15,5,0,21.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,16.2,0.3,-0.92,5.29
1.0,100.0,1.0,6.42,6.42,64.17,64.17,6,7,6,2,20.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,8.9,1.4,3.51,6.7
1.0,82.0,1.0,5.67,5.67,56.67,56.67,5,9,3,0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,8.9,1.4,3.51,6.75
0.0,100.0,1.0,6.33,6.33,63.33,63.33,6,6,6,0,19.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,12.4,0.5,1.79,7.19
1.0,100.0,1.0,6.2,6.2,62.0,62.0,5,6,5,0,34.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,13.9,-0.3,0.79,6.71
1.0,55.0,1.0,0.0,0.0,0.0,0.0,7,7,0,0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.9,1.4,3.51,5.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,43.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,7.6,2.6,0.32,0.0
0.0,64.0,1.0,5.0,5.0,50.0,50.0,5,10,1,0,55.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,16.2,0.3,-0.92,6.0
0.0,100.0,1.0,5.5,5.5,55.0,55.0,5,8,5,0,39.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,7.6,2.6,0.32,5.8
0.0,77.5,1.0,5.83,5.83,58.33,58.33,6,13,3,2,20.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,12.4,0.5,1.79,6.0
0.0,85.0,1.0,6.38,6.38,63.75,63.75,6,6,4,0,18.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,12.7,3.7,-1.7,0.0
0.0,100.0,1.0,7.4,7.4,74.0,74.0,5,5,5,0,22.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,8.9,1.4,3.51,7.9
0.0,87.14,1.0,6.96,6.96,69.64,69.64,7,9,5,0,22.0,0.0,1.0,0.0,1.0,0.0,12.0,1.0,1.0,11.1,0.6,2.02,7.17
0.0,85.0,1.0,6.5,6.5,65.0,65.0,6,7,4,0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,12.4,0.5,1.79,6.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,29.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,16.2,0.3,-0.92,0.0
0.0,73.0,1.0,5.75,5.75,57.5,57.5,5,9,2,0,24.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,7.6,2.6,0.32,7.17
0.0,100.0,1.0,5.83,5.83,58.33,58.33,6,6,6,0,18.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,11.1,0.6,2.02,6.6
0.0,93.57,1.0,6.76,6.76,67.58,67.58,7,8,6,0,22.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,11.1,0.6,2.02,6.89
0.0,100.0,1.0,5.75,5.75,57.5,57.5,6,6,6,3,21.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,12.4,0.5,1.79,6.64
0.0,92.5,1.0,6.17,6.17,61.67,61.67,6,7,5,0,19.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,12.7,3.7,-1.7,6.42
0.0,100.0,1.0,6.83,6.83,68.33,68.33,6,6,6,0,24.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,12.4,0.5,1.79,7.08
0.0,88.75,1.0,5.92,5.92,59.17,59.17,8,10,6,0,19.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,9.4,-0.8,-3.12,5.92
0.0,85.0,1.0,7.0,7.0,70.0,70.0,6,11,4,0,20.0,0.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,9.4,-0.8,-3.12,5.5
0.0,100.0,1.0,7.36,7.36,73.57,73.57,5,7,5,0,19.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,7.6,2.6,0.32,7.9
0.0,100.0,1.0,5.3,5.3,53.0,53.0,5,12,5,0,27.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,9.4,-0.8,-3.12,5.5
0.0,100.0,1.0,6.52,6.52,65.22,65.22,7,9,7,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,15.5,2.8,-4.06,6.8
0.0,55.0,1.0,0.0,0.0,0.0,0.0,6,10,0,0,39.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,12.4,0.5,1.79,0.0
0.0,92.5,1.0,6.5,6.5,65.0,65.0,6,9,5,0,27.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,12.4,0.5,1.79,6.45
0.0,100.0,1.0,7.47,7.47,74.68,74.68,8,8,8,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,9.4,-0.8,-3.12,7.47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,7.6,2.6,0.32,0.0
0.0,93.57,1.0,6.57,6.57,65.67,65.67,7,8,6,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,16.2,0.3,-0.92,6.11
0.0,100.0,1.0,6.0,6.0,60.0,60.0,6,7,6,3,21.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,13.9,-0.3,0.79,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,10.8,1.4,1.74,0.0
1.0,92.5,1.0,5.7,5.7,57.0,57.0,6,6,5,0,19.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,10.8,1.4,1.74,5.0
1.0,55.0,1.0,0.0,0.0,0.0,0.0,6,6,0,0,24.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,12.7,3.7,-1.7,0.0
1.0,87.14,1.0,5.95,5.95,59.5,59.5,7,10,5,2,29.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,13.9,-0.3,0.79,5.5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,10.8,1.4,1.74,0.0
1.0,100.0,1.0,6.29,6.29,62.86,62.86,6,8,6,0,23.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,8.9,1.4,3.51,6.21
1.0,100.0,1.0,5.6,5.6,56.0,56.0,5,8,5,0,19.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,16.2,0.3,-0.92,5.38
1.0,100.0,1.0,6.0,6.0,60.0,60.0,6,7,6,0,26.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,12.7,3.7,-1.7,5.4
1.0,55.0,1.0,0.0,0.0,0.0,0.0,5,9,0,0,18.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,7.6,2.6,0.32,0.0
1.0,100.0,1.0,5.99,5.99,59.88,59.88,7,8,7,0,24.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,13.9,-0.3,0.79,6.88
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,15.5,2.8,-4.06,0.0
1.0,77.5,1.0,5.83,5.83,58.33,58.33,6,12,3,0,18.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,12.4,0.5,1.79,6.0
1.0,100.0,1.0,6.17,6.17,61.67,61.67,6,8,6,0,18.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,10.8,1.4,1.74,6.17
1.0,82.0,1.0,5.17,5.17,51.67,51.67,5,8,3,0,18.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,10.8,1.4,1.74,5.43
1.0,85.0,1.0,5.25,5.25,52.5,52.5,6,8,4,0,21.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,9.4,-0.8,-3.12,5.5
1.0,100.0,1.0,6.83,6.83,68.33,68.33,6,6,6,0,19.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,8.9,1.4,3.51,6.67
1.0,100.0,1.0,7.42,7.42,74.21,74.21,7,7,7,0,22.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,16.2,0.3,-0.92,7.53
1.0,100.0,1.0,6.0,6.0,60.0,60.0,6,8,6,0,33.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,10.8,1.4,1.74,5.83
1.0,92.5,1.0,6.1,6.1,61.0,61.0,6,8,5,0,20.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,10.8,1.4,1.74,6.1
1.0,55.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,35.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,10.8,1.4,1.74,0.0
1.0,77.5,1.0,6.08,6.08,60.83,60.83,12,17,6,6,24.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,12.4,0.5,1.79,6.65
1.0,100.0,1.0,6.0,6.0,60.0,60.0,5,6,5,0,18.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,12.7,3.7,-1.7,5.67
0.0,100.0,1.0,5.5,5.5,55.0,55.0,6,7,6,0,33.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,9.4,-0.8,-3.12,5.5
0.0,94.38,1.0,6.54,6.54,65.4,65.4,8,8,7,0,22.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,10.8,1.4,1.74,6.54
0.0,91.0,1.0,5.25,5.25,52.5,52.5,5,7,4,0,25.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,9.4,-0.8,-3.12,5.8
1.0,100.0,1.0,5.33,5.33,53.33,53.33,6,9,6,0,20.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,7.6,2.6,0.32,5.6
1.0,91.0,1.0,7.0,7.0,70.0,70.0,5,6,4,0,23.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,11.1,0.6,2.02,6.9
1.0,73.0,1.0,5.0,5.0,50.0,50.0,5,9,2,0,18.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,15.5,2.8,-4.06,0.0
1.0,55.0,1.0,0.0,0.0,0.0,0.0,7,18,0,0,24.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,13.9,-0.3,0.79,0.0
0.0,100.0,1.0,7.0,7.0,70.0,70.0,6,6,6,0,21.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,1.0,8.9,1.4,3.51,6.75
0.0,70.0,1.0,6.0,6.0,60.0,60.0,6,7,2,0,26.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,8.9,1.4,3.51,0.0
0.0,77.5,1.0,6.33,6.33,63.33,63.33,6,12,3,0,39.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,7.6,2.6,0.32,0.0
0.0,100.0,1.0,5.94,5.94,59.38,59.38,8,11,8,2,44.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,12.7,3.7,-1.7,6.17
1.0,100.0,1.0,7.0,7.0,70.0,70.0,5,9,5,0,19.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,13.9,-0.3,0.79,6.62
0.0,100.0,1.0,6.83,6.83,68.33,68.33,6,6,6,0,18.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,8.9,1.4,3.51,6.67
0.0,100.0,1.0,6.88,6.88,68.75,68.75,7,7,7,0,18.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,12.4,0.5,1.79,7.24
0.0,100.0,1.0,7.1,7.1,71.0,71.0,5,7,5,0,19.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,12.7,3.7,-1.7,6.9
0.0,80.71,1.0,5.98,5.98,59.8,59.8,7,10,4,0,19.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,13.9,-0.3,0.79,0.0
0.0,91.0,1.0,6.44,6.44,64.38,64.38,10,12,8,7,21.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,8.9,1.4,3.51,6.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,16.2,0.3,-0.92,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,36.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,9.4,-0.8,-3.12,0.0
0.0,100.0,1.0,7.32,7.32,73.16,73.16,18,19,18,13,43.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,15.5,2.8,-4.06,7.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,19.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,11.1,0.6,2.02,0.0
0.0,100.0,1.0,6.5,6.5,65.0,65.0,10,12,10,4,20.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,11.1,0.6,2.02,6.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,19.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,16.2,0.3,-0.92,0.0
0.0,85.0,1.0,7.1,7.1,71.0,71.0,6,15,4,0,20.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,15.5,2.8,-4.06,6.62
0.0,93.57,1.0,6.63,6.63,66.33,66.33,7,9,6,2,20.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,12.4,0.5,1.79,6.15
0.0,93.57,1.0,5.83,5.83,58.33,58.33,7,12,6,0,20.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,16.2,0.3,-0.92,6.5
0.0,100.0,1.0,6.93,6.93,69.29,69.29,6,8,6,0,18.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,13.9,-0.3,0.79,7.5
0.0,82.0,1.0,6.5,6.5,65.0,65.0,5,9,3,0,18.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,8.9,1.4,3.51,5.5
0.0,100.0,1.0,6.7,6.7,67.0,67.0,5,6,5,0,19.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,10.8,1.4,1.74,6.4
0.0,100.0,1.0,6.33,6.33,63.33,63.33,6,6,6,0,18.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,10.8,1.4,1.74,6.29
0.0,93.57,1.0,6.26,6.26,62.58,62.58,7,7,6,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,7.6,2.6,0.32,6.26
0.0,93.57,1.0,5.81,5.81,58.08,58.08,7,11,6,0,20.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,13.9,-0.3,0.79,6.5
0.0,70.0,1.0,5.0,5.0,50.0,50.0,6,13,2,0,20.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,7.6,2.6,0.32,5.38
0.0,82.0,1.0,5.17,5.17,51.67,51.67,5,11,3,0,20.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,12.4,0.5,1.79,5.33
0.0,100.0,1.0,6.57,6.57,65.71,65.71,5,12,5,0,18.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,9.4,-0.8,-3.12,5.7
0.0,100.0,1.0,6.3,6.3,63.0,63.0,5,5,5,0,18.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,11.1,0.6,2.02,7.0
0.0,77.5,1.0,5.5,5.5,55.0,55.0,6,12,3,0,21.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,9.4,-0.8,-3.12,5.5
0.0,100.0,1.0,5.4,5.4,54.0,54.0,5,8,5,0,19.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,16.2,0.3,-0.92,5.62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,10.8,1.4,1.74,0.0
0.0,100.0,1.0,6.4,6.4,64.0,64.0,5,5,5,0,19.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,9.4,-0.8,-3.12,7.1
0.0,100.0,1.0,7.08,7.08,70.83,70.83,6,15,6,0,19.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,15.5,2.8,-4.06,6.1
0.0,87.14,1.0,6.05,6.05,60.5,60.5,7,12,5,0,19.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,13.9,-0.3,0.79,0.0
0.0,100.0,1.0,7.08,7.08,70.83,70.83,6,7,6,1,20.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,12.4,0.5,1.79,6.89
0.0,92.5,1.0,6.4,6.4,64.0,64.0,6,8,5,0,18.0,0.0,1.0,1.0,0.0,0.0,16.0,1.0,1.0,9.4,-0.8,-3.12,6.7
0.0,100.0,1.0,6.5,6.5,65.0,65.0,6,7,6,0,18.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,12.4,0.5,1.79,6.83
0.0,100.0,1.0,6.73,6.73,67.34,67.34,7,7,7,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,12.4,0.5,1.79,7.51
0.0,100.0,1.0,6.62,6.62,66.19,66.19,7,9,7,0,18.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,13.9,-0.3,0.79,6.87
0.0,100.0,1.0,6.17,6.17,61.67,61.67,6,6,6,0,18.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,7.6,2.6,0.32,6.5
0.0,100.0,1.0,6.2,6.2,62.0,62.0,5,7,5,0,19.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,8.9,1.4,3.51,7.3
0.0,87.14,1.0,7.0,7.0,70.0,70.0,7,8,5,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,13.9,-0.3,0.79,0.0
0.0,100.0,1.0,5.83,5.83,58.33,58.33,9,15,9,5,20.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,7.6,2.6,0.32,5.86
0.0,92.5,1.0,6.0,6.0,60.0,60.0,6,7,5,0,19.0,1.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,12.4,0.5,1.79,6.25
0.0,91.0,1.0,6.1,6.1,61.0,61.0,5,7,4,0,20.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,1.0,7.6,2.6,0.32,5.75
0.0,100.0,1.0,7.42,7.42,74.17,74.17,6,6,6,0,18.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0,8.9,1.4,3.51,7.42
0.0,87.14,1.0,6.59,6.59,65.94,65.94,7,9,5,0,20.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,11.1,0.6,2.02,6.45
0.0,100.0,1.0,8.56,8.56,85.62,85.62,7,8,7,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,13.9,-0.3,0.79,8.79
0.0,93.57,1.0,6.33,6.33,63.33,63.33,7,7,6,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,7.6,2.6,0.32,6.33
0.0,100.0,1.0,6.33,6.33,63.33,63.33,6,8,6,0,19.0,0.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,12.4,0.5,1.79,6.0
0.0,55.0,1.0,0.0,0.0,0.0,0.0,5,8,0,0,22.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,8.9,1.4,3.51,0.0
0.0,100.0,1.0,5.67,5.67,56.67,56.67,6,7,6,0,19.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,12.4,0.5,1.79,5.75
0.0,100.0,1.0,6.8,6.8,68.03,68.03,7,10,7,0,19.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,15.5,2.8,-4.06,6.17
0.0,92.5,1.0,6.0,6.0,60.0,60.0,6,10,5,0,19.0,0.0,1.0,1.0,0.0,0.0,16.0,1.0,1.0,9.4,-0.8,-3.12,5.4
0.0,55.0,1.0,0.0,0.0,0.0,0.0,5,10,0,0,19.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,7.6,2.6,0.32,0.0
0.0,92.5,1.0,5.6,5.6,56.0,56.0,6,8,5,0,20.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,7.6,2.6,0.32,5.83
0.0,100.0,1.0,6.69,6.69,66.88,66.88,5,10,5,0,18.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,13.9,-0.3,0.79,7.08
0.0,93.57,1.0,6.93,6.93,69.32,69.32,7,8,6,0,20.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,11.1,0.6,2.02,7.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,9.4,-0.8,-3.12,0.0
0.0,100.0,1.0,6.2,6.2,62.0,62.0,5,6,5,0,19.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,7.6,2.6,0.32,6.7
0.0,77.5,1.0,6.17,6.17,61.67,61.67,6,11,3,0,18.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,9.4,-0.8,-3.12,5.42
0.0,100.0,1.0,6.67,6.67,66.67,66.67,6,7,6,0,18.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,7.6,2.6,0.32,5.9
