gender_code,attendance_percentage,assignment_completion,current_cgpa,previous_cgpa,average_internal_marks,average_total_marks,subjects_enrolled,subjects_evaluated,subjects_passed,subjects_credited,age_at_enrollment,debtor,tuition_fees_up_to_date,scholarship_holder,educational_special_needs,international,course_code,daytime_attendance,displaced,unemployment_rate,inflation_rate,gdp,dropout_target
0.0,96.25,1.0,5.39,5.29,53.93,53.93,12,15,11,0,21.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,8.9,1.4,3.51,0
0.0,95.5,1.0,6.31,6.62,63.12,63.12,10,12,9,0,18.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,10.8,1.4,1.74,0
0.0,73.75,1.0,3.3,6.6,33.0,33.0,12,13,5,0,20.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,15.5,2.8,-4.06,1
0.0,66.25,1.0,5.75,6.0,57.5,57.5,12,24,3,0,18.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,10.8,1.4,1.74,0
0.0,100.0,1.0,6.96,6.65,69.63,69.63,15,16,15,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,15.5,2.8,-4.06,0
0.0,91.0,1.0,6.19,6.25,61.88,61.88,10,16,8,0,20.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,10.8,1.4,1.74,0
0.0,93.57,1.0,6.29,5.83,62.92,62.92,14,15,12,0,18.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,16.2,0.3,-0.92,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,11.1,0.6,2.02,0
0.0,100.0,1.0,5.72,5.72,57.16,57.16,15,23,15,0,20.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,12.7,3.7,-1.7,0
0.0,94.38,1.0,6.43,6.43,64.29,64.29,16,24,14,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,12.7,3.7,-1.7,0
0.0,100.0,1.0,6.42,6.69,64.15,64.15,12,15,12,0,19.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,1.0,11.1,0.6,2.02,0
0.0,94.0,1.0,6.85,6.65,68.53,68.53,15,17,13,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,11.1,0.6,2.02,0
0.0,88.75,1.0,5.65,5.8,56.5,56.5,12,20,9,0,18.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,7.6,2.6,0.32,0
0.0,100.0,1.0,6.17,5.69,61.65,61.65,12,18,12,0,21.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,16.2,0.3,-0.92,0
0.0,95.5,1.0,6.42,6.33,64.17,64.17,10,16,9,0,18.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,100.0,1.0,6.08,6.0,60.83,60.83,10,12,10,0,20.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,16.2,0.3,-0.92,0
1.0,93.57,1.0,6.66,6.47,66.62,66.62,14,16,12,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,16.2,0.3,-0.92,0
1.0,92.5,1.0,5.61,5.93,56.07,56.07,12,32,10,0,21.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,16.2,0.3,-0.92,0
1.0,92.5,1.0,6.56,6.42,65.58,65.58,12,16,10,2,20.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,8.9,1.4,3.51,0
1.0,77.5,1.0,6.21,5.67,62.08,62.08,10,17,5,0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,8.9,1.4,3.51,0
0.0,100.0,1.0,6.76,6.33,67.6,67.6,12,14,12,0,19.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,12.4,0.5,1.79,0
1.0,100.0,1.0,6.46,6.2,64.57,64.57,10,15,10,0,34.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,13.9,-0.3,0.79,0
1.0,58.21,1.0,2.5,0.0,25.0,25.0,14,14,1,0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.9,1.4,3.51,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,43.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,7.6,2.6,0.32,1
0.0,68.5,1.0,5.5,5.0,55.0,55.0,10,18,3,0,55.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,16.2,0.3,-0.92,1
0.0,100.0,1.0,5.65,5.5,56.5,56.5,10,13,10,0,39.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,7.6,2.6,0.32,0
0.0,77.5,1.0,5.92,5.83,59.17,59.17,12,24,6,3,20.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,12.4,0.5,1.79,1
0.0,71.36,1.0,3.19,6.38,31.88,31.88,11,11,4,0,18.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,12.7,3.7,-1.7,1
0.0,100.0,1.0,7.65,7.4,76.5,76.5,10,10,10,0,22.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,8.9,1.4,3.51,0
0.0,91.0,1.0,7.07,6.96,70.68,70.68,15,18,12,0,22.0,0.0,1.0,0.0,1.0,0.0,12.0,1.0,1.0,11.1,0.6,2.02,0
0.0,88.75,1.0,6.7,6.5,67.0,67.0,12,14,9,0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,12.4,0.5,1.79,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,29.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,16.2,0.3,-0.92,1
0.0,77.5,1.0,6.46,5.75,64.58,64.58,10,20,5,0,24.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,7.6,2.6,0.32,0
0.0,96.25,1.0,6.22,5.83,62.17,62.17,12,14,11,0,18.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,11.1,0.6,2.02,0
0.0,94.0,1.0,6.82,6.76,68.22,68.22,15,17,13,0,22.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,11.1,0.6,2.02,0
0.0,100.0,1.0,6.2,5.75,61.96,61.96,12,13,12,5,21.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,12.4,0.5,1.79,0
0.0,96.25,1.0,6.29,6.17,62.92,62.92,12,14,11,0,19.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,12.7,3.7,-1.7,0
0.0,100.0,1.0,6.96,6.83,69.58,69.58,12,12,12,0,24.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,12.4,0.5,1.79,0
0.0,88.75,1.0,5.92,5.92,59.17,59.17,16,20,12,0,19.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,81.25,1.0,6.25,7.0,62.5,62.5,12,23,7,0,20.0,0.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,100.0,1.0,7.63,7.36,76.29,76.29,10,12,10,0,19.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,7.6,2.6,0.32,0
0.0,100.0,1.0,5.4,5.3,54.0,54.0,10,22,10,0,27.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,9.4,-0.8,-3.12,1
0.0,100.0,1.0,6.66,6.52,66.6,66.6,15,19,15,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,15.5,2.8,-4.06,0
0.0,55.0,1.0,0.0,0.0,0.0,0.0,12,16,0,0,39.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,12.4,0.5,1.79,1
0.0,94.71,1.0,6.48,6.5,64.75,64.75,17,22,15,5,27.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,12.4,0.5,1.79,1
0.0,100.0,1.0,7.47,7.47,74.68,74.68,16,16,16,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,7.6,2.6,0.32,0
0.0,94.0,1.0,6.34,6.57,63.39,63.39,15,20,13,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,16.2,0.3,-0.92,0
0.0,100.0,1.0,6.0,6.0,60.0,60.0,12,14,12,5,21.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,13.9,-0.3,0.79,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,10.8,1.4,1.74,0
1.0,77.5,1.0,5.35,5.7,53.5,53.5,12,14,6,0,19.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,10.8,1.4,1.74,0
1.0,55.0,1.0,0.0,0.0,0.0,0.0,12,12,0,0,24.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,12.7,3.7,-1.7,0
1.0,85.0,1.0,5.72,5.95,57.25,57.25,15,20,10,3,29.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,13.9,-0.3,0.79,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,10.8,1.4,1.74,0
1.0,100.0,1.0,6.25,6.29,62.5,62.5,12,15,12,0,23.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,8.9,1.4,3.51,0
1.0,95.5,1.0,5.49,5.6,54.88,54.88,10,18,9,0,19.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,16.2,0.3,-0.92,1
1.0,96.25,1.0,5.7,6.0,57.0,57.0,12,15,11,0,26.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,12.7,3.7,-1.7,0
1.0,55.0,1.0,0.0,0.0,0.0,0.0,10,14,0,0,18.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,7.6,2.6,0.32,0
1.0,100.0,1.0,6.43,5.99,64.31,64.31,15,16,15,0,24.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,13.9,-0.3,0.79,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,15.5,2.8,-4.06,1
1.0,70.0,1.0,5.92,5.83,59.17,59.17,12,24,4,0,18.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,12.4,0.5,1.79,1
1.0,88.75,1.0,6.17,6.17,61.67,61.67,12,19,9,0,18.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,10.8,1.4,1.74,0
1.0,82.0,1.0,5.3,5.17,52.98,52.98,10,19,6,0,18.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,10.8,1.4,1.74,1
1.0,73.75,1.0,5.38,5.25,53.75,53.75,12,19,5,0,21.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,9.4,-0.8,-3.12,1
1.0,100.0,1.0,6.75,6.83,67.5,67.5,12,12,12,0,19.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,8.9,1.4,3.51,0
1.0,100.0,1.0,7.47,7.42,74.75,74.75,15,16,15,0,22.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,16.2,0.3,-0.92,0
1.0,100.0,1.0,5.92,6.0,59.17,59.17,12,14,12,0,33.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,10.8,1.4,1.74,0
1.0,92.5,1.0,6.1,6.1,61.0,61.0,12,15,10,0,20.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,10.8,1.4,1.74,1
1.0,9.17,0.1667,0.0,0.0,0.0,0.0,6,1,0,0,35.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,10.8,1.4,1.74,1
1.0,85.0,1.0,6.37,6.08,63.67,63.67,24,31,16,13,24.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,12.4,0.5,1.79,1
1.0,91.0,1.0,5.83,6.0,58.33,58.33,10,14,8,0,18.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,12.7,3.7,-1.7,0
0.0,96.25,1.0,5.5,5.5,55.0,55.0,12,18,11,0,33.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,9.4,-0.8,-3.12,0
0.0,94.38,1.0,6.54,6.54,65.4,65.4,16,16,14,0,22.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,10.8,1.4,1.74,0
0.0,95.5,1.0,5.52,5.25,55.25,55.25,10,14,9,0,25.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,9.4,-0.8,-3.12,0
1.0,96.25,1.0,5.47,5.33,54.67,54.67,12,15,11,0,20.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,7.6,2.6,0.32,0
1.0,95.5,1.0,6.95,7.0,69.5,69.5,10,11,9,0,23.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,11.1,0.6,2.02,0
1.0,64.0,1.0,2.5,5.0,25.0,25.0,10,18,2,0,18.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,15.5,2.8,-4.06,0
1.0,55.0,1.0,0.0,0.0,0.0,0.0,14,25,0,0,24.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,13.9,-0.3,0.79,1
0.0,100.0,1.0,6.88,7.0,68.75,68.75,12,12,12,0,21.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,1.0,8.9,1.4,3.51,0
0.0,62.5,1.0,3.0,6.0,30.0,30.0,12,13,2,0,26.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,8.9,1.4,3.51,1
0.0,66.25,1.0,3.17,6.33,31.67,31.67,12,26,3,0,39.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,7.6,2.6,0.32,1
0.0,100.0,1.0,6.05,5.94,60.52,60.52,14,18,14,2,44.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,12.7,3.7,-1.7,0
1.0,91.0,1.0,6.81,7.0,68.12,68.12,10,20,8,0,19.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,13.9,-0.3,0.79,0
0.0,100.0,1.0,6.75,6.83,67.5,67.5,12,12,12,0,18.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,8.9,1.4,3.51,0
0.0,100.0,1.0,7.06,6.88,70.57,70.57,15,16,15,0,18.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,12.4,0.5,1.79,0
0.0,100.0,1.0,7.0,7.1,70.0,70.0,10,14,10,0,19.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,12.7,3.7,-1.7,0
0.0,67.86,1.0,2.99,5.98,29.9,29.9,14,17,4,0,19.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,13.9,-0.3,0.79,1
0.0,85.79,1.0,6.57,6.44,65.69,65.69,19,26,13,11,21.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,8.9,1.4,3.51,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,16.2,0.3,-0.92,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,36.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,9.4,-0.8,-3.12,1
0.0,100.0,1.0,7.22,7.32,72.16,72.16,31,33,31,23,43.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,15.5,2.8,-4.06,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,19.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,11.1,0.6,2.02,1
0.0,100.0,1.0,6.32,6.5,63.18,63.18,21,23,21,9,20.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,11.1,0.6,2.02,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,19.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,16.2,0.3,-0.92,1
0.0,85.0,1.0,6.86,7.1,68.62,68.62,12,32,8,0,20.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,15.5,2.8,-4.06,1
0.0,90.36,1.0,6.39,6.63,63.92,63.92,14,19,11,2,20.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,12.4,0.5,1.79,1
0.0,83.93,1.0,6.17,5.83,61.67,61.67,14,22,9,0,20.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,16.2,0.3,-0.92,0
0.0,100.0,1.0,7.21,6.93,72.14,72.14,12,14,12,0,18.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,13.9,-0.3,0.79,0
0.0,82.0,1.0,6.0,6.5,60.0,60.0,10,20,6,0,18.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,8.9,1.4,3.51,0
0.0,100.0,1.0,6.55,6.7,65.5,65.5,10,11,10,0,19.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,10.8,1.4,1.74,0
0.0,100.0,1.0,6.31,6.33,63.1,63.1,12,13,12,0,18.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,1.0,10.8,1.4,1.74,0
0.0,93.57,1.0,6.26,6.26,62.58,62.58,14,14,12,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,7.6,2.6,0.32,1
0.0,96.79,1.0,6.15,5.81,61.54,61.54,14,18,13,0,20.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,13.9,-0.3,0.79,0
0.0,77.5,1.0,5.19,5.0,51.88,51.88,12,25,6,0,20.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,7.6,2.6,0.32,0
0.0,82.0,1.0,5.25,5.17,52.5,52.5,10,21,6,0,20.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,12.4,0.5,1.79,0
0.0,100.0,1.0,6.14,6.57,61.36,61.36,10,18,10,0,18.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,9.4,-0.8,-3.12,0
0.0,100.0,1.0,6.65,6.3,66.5,66.5,10,10,10,0,18.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,11.1,0.6,2.02,0
0.0,73.75,1.0,5.5,5.5,55.0,55.0,12,24,5,0,21.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,9.4,-0.8,-3.12,1
0.0,95.5,1.0,5.51,5.4,55.12,55.12,10,17,9,0,19.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,16.2,0.3,-0.92,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,10.8,1.4,1.74,1
0.0,100.0,1.0,6.75,6.4,67.5,67.5,10,10,10,0,19.0,0.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,9.4,-0.8,-3.12,0
0.0,100.0,1.0,6.59,7.08,65.92,65.92,12,28,12,0,19.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,15.5,2.8,-4.06,0
0.0,63.21,0.8571,3.02,6.05,30.25,30.25,14,12,5,0,19.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,13.9,-0.3,0.79,1
0.0,96.25,1.0,6.99,7.08,69.86,69.86,12,24,11,2,20.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,12.4,0.5,1.79,0
0.0,92.5,1.0,6.55,6.4,65.5,65.5,12,15,10,0,18.0,0.0,1.0,1.0,0.0,0.0,16.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,100.0,1.0,6.67,6.5,66.67,66.67,12,13,12,0,18.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,12.4,0.5,1.79,0
0.0,100.0,1.0,7.12,6.73,71.2,71.2,15,16,15,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,12.4,0.5,1.79,0
0.0,97.0,1.0,6.75,6.62,67.45,67.45,15,18,14,0,18.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,13.9,-0.3,0.79,1
0.0,100.0,1.0,6.33,6.17,63.33,63.33,12,12,12,0,18.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,7.6,2.6,0.32,0
0.0,100.0,1.0,6.75,6.2,67.5,67.5,10,12,10,0,19.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,8.9,1.4,3.51,0
0.0,71.07,1.0,3.5,7.0,35.0,35.0,14,15,5,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,13.9,-0.3,0.79,1
0.0,100.0,1.0,5.85,5.83,58.45,58.45,16,23,16,7,20.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,7.6,2.6,0.32,0
0.0,88.75,1.0,6.12,6.0,61.25,61.25,12,16,9,0,19.0,1.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,12.4,0.5,1.79,1
0.0,91.0,1.0,5.92,6.1,59.25,59.25,10,12,8,0,20.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,1.0,7.6,2.6,0.32,0
0.0,100.0,1.0,7.42,7.42,74.17,74.17,12,12,12,0,18.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0,8.9,1.4,3.51,0
0.0,91.0,1.0,6.52,6.59,65.2,65.2,15,18,12,0,20.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,11.1,0.6,2.02,0
0.0,100.0,1.0,8.68,8.56,86.78,86.78,15,16,15,0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,13.9,-0.3,0.79,0
0.0,93.57,1.0,6.33,6.33,63.33,63.33,14,14,12,0,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,7.6,2.6,0.32,0
0.0,96.25,1.0,6.17,6.33,61.67,61.67,12,18,11,0,19.0,0.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,12.4,0.5,1.79,0
0.0,55.0,1.0,0.0,0.0,0.0,0.0,10,15,0,0,22.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,8.9,1.4,3.51,0
0.0,100.0,1.0,5.71,5.67,57.08,57.08,12,13,12,0,19.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,1.0,12.4,0.5,1.79,0
0.0,100.0,1.0,6.48,6.8,64.84,64.84,15,21,15,0,19.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,15.5,2.8,-4.06,0
0.0,92.5,1.0,5.7,6.0,57.0,57.0,12,19,10,0,19.0,0.0,1.0,1.0,0.0,0.0,16.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,55.0,1.0,0.0,0.0,0.0,0.0,10,20,0,0,19.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,7.6,2.6,0.32,1
0.0,85.0,1.0,5.72,5.6,57.17,57.17,12,20,8,0,20.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,7.6,2.6,0.32,1
0.0,100.0,1.0,6.89,6.69,68.85,68.85,10,19,10,0,18.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,13.9,-0.3,0.79,0
0.0,94.0,1.0,7.01,6.93,70.1,70.1,15,17,13,0,20.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,11.1,0.6,2.02,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,100.0,1.0,6.45,6.2,64.5,64.5,10,12,10,0,19.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,7.6,2.6,0.32,0
0.0,85.0,1.0,5.79,6.17,57.92,57.92,12,21,8,0,18.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,9.4,-0.8,-3.12,0
0.0,96.25,1.0,6.28,6.67,62.83,62.83,12,15,11,0,18.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,7.6,2.6,0.32,0
0.0,77.5,1.0,5.67,6.33,56.67,56.67,12,22,6,0,21.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,9.4,-0.8,-3.12,1
0.0,92.5,1.0,5.88,6.0,58.75,58.75,12,18,10,0,19.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,7.6,2.6,0.32,1
0.0,100.0,1.0,5.6,5.3,56.0,56.0,10,10,10,0,18.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,12.4,0.5,1.79,0
